                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65813,                0.33333,                      1,                0.77539,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 0.6095,                0.33333,                      1,                0.75586,             6.3624e-05,             6.3624e-05,             6.3624e-05
                      3,                0.52426,                0.44444,                      1,                0.69824,             9.7981e-05,             9.7981e-05,             9.7981e-05
                      4,                0.42703,                0.68889,                      1,                0.60596,             0.00013163,             0.00013163,             0.00013163
                      5,                0.33047,                0.84444,                      1,                0.50439,             0.00016457,             0.00016457,             0.00016457
                      6,                 0.2269,                0.91111,                      1,                0.43359,             0.00019681,             0.00019681,             0.00019681
                      7,                0.14979,                0.95556,                      1,                0.38062,             0.00022834,             0.00022834,             0.00022834
                      8,                0.10947,                0.95556,                      1,                0.34766,             0.00025916,             0.00025916,             0.00025916
                      9,                0.12098,                      1,                      1,                0.32275,             0.00028928,             0.00028928,             0.00028928
                     10,                0.16763,                      1,                      1,                0.31787,             0.00031869,             0.00031869,             0.00031869
                     11,                0.06469,                      1,                      1,                0.31396,             0.00034739,             0.00034739,             0.00034739
                     12,                0.05926,                      1,                      1,                0.31982,             0.00037538,             0.00037538,             0.00037538
                     13,                0.05994,                0.91111,                      1,                 0.3772,             0.00040267,             0.00040267,             0.00040267
                     14,                0.03127,                0.95556,                      1,                0.35767,             0.00042925,             0.00042925,             0.00042925
                     15,                0.02162,                0.97778,                      1,                0.33594,             0.00045513,             0.00045513,             0.00045513
                     16,                0.01912,                      1,                      1,                0.33008,              0.0004803,              0.0004803,              0.0004803
                     17,                0.02289,                0.91111,                      1,                0.38257,             0.00050476,             0.00050476,             0.00050476
                     18,                0.04772,                0.97778,                      1,                0.33105,             0.00052851,             0.00052851,             0.00052851
                     19,                0.04113,                      1,                      1,                0.31396,             0.00055156,             0.00055156,             0.00055156
                     20,                0.02673,                      1,                      1,                0.31421,              0.0005739,              0.0005739,              0.0005739
                     21,                0.01287,                      1,                      1,                0.31348,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01974,                      1,                      1,                0.31348,             0.00056556,             0.00056556,             0.00056556
                     23,                0.02332,                      1,                      1,                0.31372,             0.00055849,             0.00055849,             0.00055849
                     24,                0.00332,                      1,                      1,                0.31543,             0.00055142,             0.00055142,             0.00055142
                     25,                0.00782,                      1,                      1,                0.31421,             0.00054435,             0.00054435,             0.00054435
                     26,                0.00203,                      1,                      1,                0.31372,             0.00053728,             0.00053728,             0.00053728
                     27,                0.02746,                      1,                      1,                0.31323,             0.00053022,             0.00053022,             0.00053022
                     28,                0.00503,                      1,                      1,                0.31323,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00819,                      1,                      1,                0.31323,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00821,                      1,                      1,                0.31323,             0.00050901,             0.00050901,             0.00050901
                     31,                0.02691,                      1,                      1,                0.31421,             0.00050194,             0.00050194,             0.00050194
                     32,                0.04006,                0.97778,                      1,                0.32812,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.0095,                      1,                      1,                0.33081,              0.0004878,              0.0004878,              0.0004878
                     34,                0.02111,                      1,                      1,                0.31665,             0.00048074,             0.00048074,             0.00048074
                     35,                  0.471,                      1,                      1,                0.31396,             0.00047367,             0.00047367,             0.00047367
                     36,                0.02106,                      1,                      1,                0.31543,              0.0004666,              0.0004666,              0.0004666
                     37,                0.04055,                      1,                      1,                0.31641,             0.00045953,             0.00045953,             0.00045953
                     38,                0.05382,                0.97778,                      1,                 0.3252,             0.00045246,             0.00045246,             0.00045246
                     39,                0.01527,                0.97778,                      1,                0.32349,             0.00044539,             0.00044539,             0.00044539
                     40,                0.02764,                      1,                      1,                0.32031,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00774,                      1,                      1,                0.31519,             0.00043126,             0.00043126,             0.00043126
                     42,                0.01722,                      1,                      1,                0.31616,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00662,                      1,                      1,                 0.3147,             0.00041712,             0.00041712,             0.00041712
                     44,                 0.0132,                      1,                      1,                0.31445,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00545,                      1,                      1,                0.31396,             0.00040298,             0.00040298,             0.00040298
                     46,                0.01501,                      1,                      1,                0.31396,             0.00039591,             0.00039591,             0.00039591
                     47,                0.01812,                      1,                      1,                0.31396,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00408,                      1,                      1,                0.31348,             0.00038178,             0.00038178,             0.00038178
                     49,                 0.0054,                      1,                      1,                0.31348,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01298,                      1,                      1,                0.31323,             0.00036764,             0.00036764,             0.00036764
                     51,                0.01277,                      1,                      1,                0.31323,             0.00036057,             0.00036057,             0.00036057
                     52,                0.01576,                      1,                      1,                0.31348,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00224,                      1,                      1,                0.31372,             0.00034643,             0.00034643,             0.00034643
                     54,                0.04153,                      1,                      1,                0.31323,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00614,                      1,                      1,                0.31348,              0.0003323,              0.0003323,              0.0003323
                     56,                0.01073,                      1,                      1,                0.31323,             0.00032523,             0.00032523,             0.00032523
                     57,                0.01691,                      1,                      1,                0.31323,             0.00031816,             0.00031816,             0.00031816
                     58,                 0.0062,                      1,                      1,                0.31323,             0.00031109,             0.00031109,             0.00031109
                     59,                0.01247,                      1,                      1,                0.31323,             0.00030402,             0.00030402,             0.00030402
